Accuracy ste,dir 15 vs. 85 x switch=1 x coh=0.06,dir 15 vs. 85 x switch=2 x coh=0.06,directions,coherences,switching
controlROI,0.125,0.062,,,
V1,0.1240195927,0.0617323462,0.03,0.02,0.03
V2,0.1158781014,0.062469475,0.03,0.02,0.03
V3,0.125,0.05936986,0.03,0.02,0.03
V3A,0.125,0.06,0.02,0.02,0.03
MT,0.121,0.06,0.02,0.02,0.03
hV4,0.124,0.062,0.03,0.02,0.03
IPS,0.121,0.06,0.03,0.02,0.03
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
, 0.5                     0.625                    0.5625                     0.375,,,,
